Drug	Original Target	Source	Target	Trade name	Type	Use	Tissue	Tissue Hits	Supporting Evidence	Notes	
Bevacizumab[12]	VEGF-A	humanized	VEGFA	Avastin	mab	metastatic cancer, retinopathy of prematurity		Liver, Colon-Small_intestine, Brain, Skin-Head, Lung, Breast, Ovary, Kidney, Pancreas	[3] For cancer it is given by slow injection into a vein and used for colon cancer, lung cancer, glioblastoma, and renal-cell carcinoma.Common side effects when use for cancer include nose bleeds, headache, high blood pressure, and rash.1 Colorectal cancer.2 Lung cancer.3 Breast cancer.4 Renal cancers.3 Breast cancer approval.Colorectal cancer[edit].Bevacizumab was approved by the FDA in February 2004 for use in metastatic colorectal cancer when used with standard chemotherapy treatment (as first-line treatment) and with 5-fluorouracil-based therapy for second-line metastatic colorectal cancer.Bevacizumab has also been examined as an add on to other chemotherapy drugs in people with non-metastatic colon cancer.It was approved by the EMA in January 2005 for use in colorectal cancer.Lung cancer[edit].In 2006, the FDA approved bevacizumab for use in first-line advanced nonsquamous non-small cell lung cancer in combination with carboplatin/paclitaxel chemotherapy. JTO 2010); adenocarcinoma represents approximately 85% of all non-squamous cell carcinomas of the lung. An overall survival benefit was not demonstrated in patients treated with bevacizumab; however, this may be due to the more limited use of bevacizumab as maintenance treatment in AVAiL versus E4599 (this differential effect is also apparent in the European vs US trials of bevacizumab in colorectal cancer: Tyagi and Grothey, Clin Colorectal Cancer, 2006). Another large European-based clinical trial with bevacizumab in lung cancer, AVAPERL, was reported in October 2011 (Barlesi, et al.Breast cancer[edit].In December 2010, the FDA removed the breast cancer indication from bevacizumab, saying that it had not been shown to be safe and effective in breast cancer patients. This only prevented Genentech from marketing bevacizumab for breast cancer. A panel of cancer experts ruled for a second time that Avastin, the best-selling cancer drug in the world, should no longer be used in breast cancer patients, clearing the way for the U. The committee concluded that breast cancer clinical studies of patients taking Avastin have shown no advantage in survival rates, no improvement in quality of life, and significant side effects. Food and Drug Administration (FDA) announced that the agency is revoking the agency’s approval of the breast cancer indication for bevacizumab after concluding that the drug has not been shown to be safe and effective for that use.Renal cancers[edit].In certain renal (kidney) cancers, bevacizumab improves the progression free survival time but not survival time. In 2009, the FDA approved bevacizumab for use in metastatic renal cell cancer (a form of kidney cancer).Bevacizumab slows tumor growth but does not affect overall survival in people with glioblastoma multiforme. In colon cancer, it is given in combination with the chemotherapy drug 5-FU (5-fluorouracil), leucovorin, and oxaliplatin or irinotecan.[29] In advanced lung cancer, less than half of patients qualify for treatment.[33] About 2/3 of cases involved patients with colorectal cancer, or patients with gastrointestinal perforations or fistulas.It received its first approval in the United States in 2004, for combination use with standard chemotherapy for metastatic colon cancer.[42] It has since been approved for use in certain lung cancers, renal cancers, ovarian cancers, and glioblastoma multiforme of the brain.At one point bevacizumab was approved for breast cancer by the FDA, but the approval was revoked on 18 November 2011.[43][44][45] The approval for breast cancer was revoked because, although there was evidence that it slowed progression of metastatic breast cancer, there was no evidence that it extended life or improved quality of life, and it caused adverse effects including severe high blood pressure and hemorrhaging. In 2008, the FDA gave bevacizumab provisional approval for metastatic breast cancer, subject to further studies.[46] In July 2010, after new studies failed to show a significant benefit, the FDA's advisory panel recommended against the indication for advanced breast cancer. The FDA ruled to withdraw the breast cancer indication in November 2011.[44] The drug remains approved for breast cancer use in other countries including Australia.[49] In 2006, the Scottish Medicines Consortium recommended against the NHS funding Avastin for first-line treatment of metastatic carcinoma of the colon or rectum, due to estimated costs of £24,000 to £93,000 per quality-adjusted life year (QALY).The addition of bevacizumab to standard treatment can prolong the lives of breast and lung cancer patients by several months, at a cost of $100,000 a year in the United States.[51] For colorectal cancer, Robert J.When bevacizumab is used in the treatment of wet age-related macular degeneration (wet AMD), only tiny and relatively inexpensive doses (compared to amounts used in colon and other cancers) are required.Breast cancer approval[edit].In 2011, the US Food and Drug Administration removed bevacizumab indication for metastatic breast cancer after concluding that the drug has not been shown to be safe and effective. The specific indication that was withdrawn was for the use of bevacizumab in metastatic breast cancer, with paclitaxel for the treatment of people who have not received chemotherapy for metastatic HER2-negative breast cancer.In 2010, before the FDA announcement, The National Comprehensive Cancer Network (NCCN) updated the NCCN Clinical Practice Guidelines for Oncology (NCCN Guidelines) for Breast Cancer to affirm the recommendation regarding the use of bevacizumab in the treatment of metastatic breast cancer.In 2008, the FDA approved bevacizumab for use in breast cancer.On March 28, 2007, the European Commission approved bevacizumab in combination with paclitaxel for the first-line treatment of metastatic breast cancer.A study released in April 2009 found that bevacizumab is not effective at preventing recurrences of non-metastatic colon cancer following surgery.Bevacizumab has demonstrated activity in ovarian cancer[66][67] and glioblastoma multiforme,[68] a type of brain tumour, when used as a single agent.In 2010, two phase III trials showed a 27% and 54% increase in progression-free survival in ovarian cancer.Bevacizumab has been investigated as a possible treatment of pancreatic cancer, as an addition to chemotherapy, but studies have shown no improvement in survival.As of 2012 clinical trials were underway to test an intra-arterial technique for delivering the drug directly to brain tumors, bypassing the blood–brain barrier.^ "Lessons From the Adjuvant Bevacizumab Trial on Colon Cancer: What Next?".^ "FDA begins process to remove breast cancer indication from Avastin label" (Press release). Rejects Use of Drug in Cases of Breast Cancer".^ "FDA clears Genentech drug for kidney cancer".^ "FDA Gives Roche's Avastin the Go-Ahead for Metastatic Renal Carcinoma". "Vascular Endothelial Growth Factor-Targeted Therapy in Renal Cell Carcinoma: Current Status and Future Directions". "The Proportion of Patients with Metastatic Non-small Cell Lung Cancer Potentially Eligible for Treatment with Bevacizumab: A Single Institutional Survey". "Neurologic Complications of Cancer, 2nd ed. "Target Practice: Lessons from Phase III Trials with Bevacizumab and Vatalanib in the Treatment of Advanced Colorectal Cancer". Revokes Approval of Avastin for Breast Cancer". Approves Drug's Use for Breast Cancer".^ "Breast cancer drug 'still safe' for Aussie women". "Critics condemn bowel cancer drug rejection". "Two Steps Forward in the Treatment of Colorectal Cancer". "A phase II study of intravenous (IV) and intraperitoneal (IP) paclitaxel (Tax), IP cisplatin (Cis), and IV bevacizumab (Bev) as first-line chemotherapy for optimal stage II or III ovarian, primary peritoneal, and fallopian tube cancer". "Phase III trial of bevacizumab (BEV) in the primary treatment of advanced epithelial ovarian cancer (EOC), primary peritoneal cancer (PPC), or fallopian tube cancer (FTC): A Gynecologic Oncology Group study".^ "Roche Claims Phase III Data Supports Use of Avastin in Ovarian Cancer". "New developments in the treatment of pancreatic cancer. "New directions in the management of advanced pancreatic cancer: a review".^ Riess, Hanno (2008), "Antiangiogenic Strategies in Pancreatic Cancer", Pancreatic Cancer, Recent Results in Cancer Research, 177, pp. "Evolution of bevacizumab-based therapy in the management of breast cancer". Breast Cancer.NCCN Guidelines For Breast Cancer Updated; Bevacizumab Recommendation Affirmed		
Brentuximab vedotin[33]	CD30 (TNFRSF8)	chimeric	TNFRSF8		mab	hematologic cancers		Brain, Liver	Brentuximab vedotin (INN, trade name Adcetris) is an antibody-drug conjugate (ADC) used to treat relapsed or refractory Hodgkin lymphoma (HL) and systemic anaplastic large cell lymphoma (ALCL). While this application was accepted, the committee noted that on the basis of inadequate cost-benefit, the medicine would not be made available more generally for the first-line treatment of relapsed or refractory systemic anaplastic large cell lymphoma (sALCL).The antibody portion of the drug attaches to CD30 on the surface of malignant cells, delivering MMAE which is responsible for the anti-tumour activity.^ Christos Vaklavas and Andres Forero-Torres; Safety and efficacy of brentuximab vedotin in patients with Hodgkin lymphoma or systemic anaplastic large cell lymphoma Therapeutic Advances in Hematology (August 2012) vol		
Brontictuzumab[23]	Notch 1	humanized	NOTCH1		mab	cancer		cancer	Brontictuzumab (INN) is a humanized monoclonal antibody designed for the treatment of cancer		
Cantuzumab mertansine	mucin CanAg	humanized	MUC1		mab	colorectal cancer etc.		Colon-Small_intestine	Cantuzumab mertansine (SB-408075; huC242-DM1) is an antibody-drug conjugate investigated to treat colorectal cancer and other types of cancer	CanAg is a novel glycoform of MUC1	
Cantuzumab ravtansine[30]		humanized	MUC1		mab	cancers		cancer	Cantuzumab ravtansine (huC242-SPDB-DM4) is an antibody-drug conjugate designed for the treatment of cancers		
Catumaxomab[22]	EpCAM, CD3	rat/mouse hybrid	EPCAM	Removab	3funct	ovarian cancer, malignant ascites, gastric cancer		Stomach	The evolving role of catumaxomab in gastric cancer		
cBR96-doxorubicin immunoconjugate	Lewis-Y antigen	humanized			mab	cancer		Lung, Breast, Colon-Small_intestine	[2][3] Multiple tumor models including lung, breast and colon were evaluated, and cBR96-Dox was found to have broad and potent anti-tumor activity, even in doxorubicin-resistant tumors.^ [2] Seattle Genetics Provides Update on SGN-15 Phase II Clinical Program at the World Conference on Lung Cancer | Seattle Genetics Press Release (July 6, 2005)	LeY is a blood group-related molecule made up of difucosylated carbohydrate residues coupled to various proteins and lipids including CA-125 and MUC1.	
Cetuximab		chimeric	EGFR	Erbitux	mab	metastatic colorectal cancer and head and neck cancer		Stomach, Ovary, Skin-Head, Lung, Colon-Small_intestine	Cetuximab is an epidermal growth factor receptor (EGFR) inhibitor used for the treatment of metastatic colorectal cancer, metastatic non-small cell lung cancer and head and neck cancer.In July 2009, the FDA approved cetuximab (Erbitux) for treatment of colon cancer with wild-type KRAS, since it had little or no effect in colorectal tumors harboring a KRAS mutation (this also applied to the EGFR antibody panitumumab)[1] This was the first genetic test to guide treatment of cancer.1 Head and neck cancer. Approximately 75% of patients with metastatic colorectal cancer have an EGFR-expressing tumor and are therefore considered eligible for treatment with cetuximab or panitumumab, according to FDA guidelines.Head and neck cancer[edit].Cetuximab was approved by the FDA in March 2006 for use in combination with radiation therapy for treating squamous cell carcinoma of the head and neck (SCCHN) or as a single agent in patients who have had prior platinum-based therapy.In July 2009, the US Food and Drug Administration (FDA) updated the labels of two anti-EGFR monoclonal antibody drugs (panitumumab (Vectibix) and cetuximab (Erbitux)) indicated for treatment of metastatic colorectal cancer to include information about KRAS mutations.15 billion) in Erbitux sales in 2012, from head and neck as well as bowel cancer, while Bristol-Myers Squibb generated $702 million in sales from the drug.The efficacy of cetuximab was explored in a clinical trial of advanced gastric cancer published in 2013; cetuximab showed no survival benefit. "Targeting EGFR in colorectal cancer".^ "Cetuximab Beneficial in Head and Neck Cancer - National Cancer Institute". "Cetuximab and chemotherapy as initial treatment for metastatic colorectal cancer". "Addition of cetuximab to chemotherapy as first-line treatment for KRAS wild-type metastatic colorectal cancer: pooled analysis of the CRYSTAL and OPUS randomised clinical trials". "The price tag on progress--chemotherapy for colorectal cancer".^ Merck KGaA's Erbitux beats Avastin in bowel cancer trial, Reuters, Jun 1 2013. Current Molecular Targeted Therapy in Advanced Gastric Cancer: A Comprehensive Review of Therapeutic Mechanism, Clinical Trials, and Practical Application		
Citatuzumab bogatox[9]	EpCAM	humanized	EPCAM		Fab	ovarian cancer and other solid tumors		Blood	Utomilumab (PF-05082566) targets this receptor to stimulate a more intense immune system attack on cancers.^ a b Pfizer cancer drug shows promise in combo with Merck's Keytruda. "Biochemical and immunological characteristics of 4-1BB (CD137) receptor and ligand and potential applications in cancer therapy".Leukemia/leukocyte inhibitory factor (LIF)		
Cixutumumab	IGF-1 receptor (CD221)	human	IGF1R		mab	solid tumors		Skin-Head, Lung, Breast, Pancreas, Prostate, Liver	Phase II clinical trials have been completed in patients with non-small cell lung cancer,[4][5] [6] metastatic rhabdomyosarcoma,[7] metastatic prostate cancer,[8] metastatic pancreatic cancer,[9] metastatic esophageal cancer,[10] bone cancer,[11][12] sarcoma,[13] solid tumors,[14] ocular melanoma,[15] hepatocellular carcinoma,[16][17], breast cancer[18] and other forms of cancer		
Clivatuzumab tetraxetan[40]		humanized	MUC1	hPAM4-Cide	mab	pancreatic cancer		Pancreas	Yttrium (90Y) clivatuzumab tetraxetan (trade name hPAM4-Cide) is a humanized monoclonal antibody-drug conjugate designed for the treatment of pancreatic cancer.In March 2016 the phase III PANCRIT-1 trial in metastatic pancreatic cancer was terminated early due to lack of improvement of overall survival.^ Immunomedics Provides Update on Phase 3 PANCRIT-1 Trial of Clivatuzumab Tetraxetan in Patients With Advanced Pancreatic Cancer		
Codrituzumab[3]	glypican 3	humanized	GPC3		mab	cancer		Blood	Obinutuzumab (called afutuzumab until 2009,[1] originally GA101) is a humanized anti-CD20 monoclonal antibody, originated by GlycArt Biotechnology AG and developed by Roche as a cancer treatment. It was approved under the trade name Gazyva by the US FDA in 2013, and as Gazyvaro by the EMA in Europe, for the treatment of chronic lymphocytic leukemia in combination with chemotherapy in treatment-naive patients, and as a second line treatment for follicular lymphoma.Obinutuzumab is used in combination with chlorambucil as a first-line treatment for chronic lymphocytic leukemia.[2] It is also used in combination with bendamustine followed by obinutuzumab monotherapy for the treatment of patients with follicular lymphoma as a second line treatment to a regimen containing rituximab.On November 13, 2013 the US FDA approved obinutuzumab in combination with chlorambucil as a first-line treatment for chronic lymphocytic leukemia, and was the first drug with breakthrough therapy designation to gain approval.In their final recommendation of obinutuzumab, in the January 2015 Pan-Canadian Oncology Drug Review (pERC) for treatment of chronic lymphocytic leukemia, published by the Canadian Agency for Drugs and Technologies in Health, the list price of obinutuzumab provided by the manufacturer Hoffmann-La Roche was $CDN 5,275.In February 2016, obinutuzmab was approved by the FDA under the Priority Review program for use in combination with bendamustine followed by obinutuzumab monotherapy for the treatment of patients with follicular lymphoma as a secondline treatment to a regimen containing rituximab.As of 2014 clinical trials had been conducted exploring the use of obinutuzumab as a second line monotherapy in relapsed/refractory chronic lymphocytic leukemia, as a monotherapy for relapsed/refractory non-Hodgkin lymphoma in people who had high expression of CD20; and in combination with CHOP chemotherapy as a first line treatment for people with advanced CD20-positive diffuse large B-cell lymphoma.^ a b c d e f Evans SS, Clemmons AB Obinutuzumab: A Novel Anti-CD20 Monoclonal Antibody for Chronic Lymphocytic Leukemia.^ FDA approves Gazyva for chronic lymphocytic leukemia: Drug is first with breakthrough therapy designation to receive FDA approval, FDA News Release, FDA, November 13, 2013, retrieved July 20, 2015 .^ "NICE denies Roche cancer drug due to ‘data uncertainties’"		
Coltuximab ravtansine		chimeric	CD19		mab	cancer		Ovary, Stomach, Liver	The antibody serves to deliver the cell-killing agent specifically to cancer cells bearing its target and the payload serves to kill these cells.[8][9] In October 2015, the company disclosed that Kadcyla had failed to meet its primary endpoint in the Phase II/III GATSBY trial investigating the second line treatment of HER2-positive advanced gastric cancer.^ Phase 1 study of IMGN853, a folate receptor alpha (FRα)-targeting antibody-drug conjugate (ADC) in patients (Pts) with epithelial ovarian cancer (EOC) and other FRA-positive solid tumors.com/gen-news-highlights/roche-s-kadcyla-fails-phase-ii-iii-trial-for-gastric-cancer/81251888/		
Conatumumab[9]	TRAIL-R2	human	TNFRSF10B		mab	cancer		Blood	Leukemia inhibitory factor (LIF)		
Dacetuzumab[10]		humanized	CD40		mab	hematologic cancers		Blood	Dacetuzumab (also known as SGN-40 or huS2C6) is a humanized monoclonal antibody[1] being developed for the treatment of CD40-positive cancers like non-Hodgkin's lymphoma[2] and hematological malignancies. "Phase I Study of the Humanized Anti-CD40 Monoclonal Antibody Dacetuzumab in Refractory or Recurrent Non-Hodgkin's Lymphoma"		
Dalotuzumab[42]	IGF-1 receptor (CD221)	humanized	IGF1R		mab	cancer etc.		Blood	Dalotuzumab is a humanized monoclonal antibody designed for the treatment of cancers.Leukemia inhibitory factor (LIF)		
Daratumumab	CD38 (cyclic ADP ribose hydrolase)	human	CD38		mab	cancer		Blood	Daratumumab (trade name Darzalex) is an anti-cancer drug. It was awarded orphan drug status for multiple myeloma, diffuse large B cell lymphoma, follicular lymphoma, and mantle cell lymphoma.^ "'Janssen Biotech Announces Global License and Development Agreement for Investigational Anti-Cancer Agent Daratumumab'"		
Demcizumab[44]		humanized	DLL4		mab	cancer		Brain, Lung, Pancreas	Demcizumab /dɛmˈsɪzʊmæb/ is a humanized monoclonal antibody which is treating patients with pancreatic cancer or non-small cell lung cancer. The Yosemite trial is testing demcizumab with Abraxane and gemcitabine verses only using Abraxane and gemcitabine for pancreatic cancer. The second phase 2 trial is Denali, which is testing demcizumab with pemetrexed and carboplatin verses only pemetrexed and carboplatin alone for non-small cell lung cancer patients.The Yosemite trial is a double blind, randomized, 3 arm study in subjects with metastatic pancreatic cancer.The other phase 2 trial is the Denali trial for non-small cell lung cancer. It is a randomized, 3 arm study in subjects with first-line metastatic Stage IV non-squamous non-small cell lung cancer. The tumors must not have an epidermal growth factor receptor or anaplastic lymphoma kinase. For pancreatic cancer Celgene will approximately make $600 million in 2022 and $300 million in 2023. For non-small cell lung cancer Celgene will approximately make $1. "OncoMed Pharmaceuticals Completes Enrollment of Phase 2 YOSEMITE Clinical Trial of Demcizumab in Pancreatic Cancer". "OncoMed Presents Data From Phase 1b Trial of Demcizumab in Pancreatic Cancer at the 2015 ASCO Annual Meeting".^ "YOSEMITE: Gemcitabine, Abraxane Plus Placebo Versus Gemcitabine, Abraxane Plus 1 or 2 Truncated Courses of Demcizumab in Subjects with 1st-Line Metastatic Pancreatic Ductal Adenocarcinoma". "OncoMed Pharmaceuticals Completes Enrollment of Phase 2 YOSEMITE Clinical Trial of Demcizumab in Pancreatic Cancer".^ "Study of Gemcitabine, Abraxane® Plus Placebo Versus Gemcitabine, Abraxane® Plus 1 or 2 Truncated Courses of Demcizumab in Subjects With 1st-Line Metastatic Pancreatic Ductal Adenocarcinoma - Full Text View - ClinicalTrials.^ "A Study of Carboplatin, Pemetrexed Plus Placebo vs Carboplatin, Pemetrexed Plus 1 or 2 Truncated Courses of Demcizumab in Subjects With Non-Squamous Non-Small Cell Lung Cancer - Full Text View - ClinicalTrials. "OncoMed Initiates Dosing in Phase 2 Clinical Trial of Demcizumab for the Treatment of Non-Small Cell Lung Cancer"		
Denintuzumab mafodotin		humanized	CD19		mab	cancer		Blood	Denintuzumab mafodotin (SGN-CD19A) is an antibody-drug conjugate (ADC) composed of a humanized anti-CD19 monoclonal antibody conjugated to the microtubule-disrupting agent monomethyl auristatin F (MMAF) via a maleimidocaproyl linker. CD19 is a B cell-specific marker that is expressed in nearly all patients (pts) with B-lineage acute leukemia or lymphoma. http://www.bloodjournal.org/content/126/23/1328?sso-checked=true		
Denosumab[45]	RANKL	human	TNFSF11	Prolia	mab	osteoporosis, bone metastases etc.		Prostate	On 17 December 2009, the Committee for Medicinal Products for Human Use (CHMP) issued a Positive Opinion for denosumab for the treatment of postmenopausal osteoporosis in women and for the treatment of bone loss in men with hormone ablation therapy for prostate cancer. "Benefit of Bone Drug in Prostate Cancer in Doubt"		
Depatuxizumab mafodotin[32]		chimeric/humanized	EGFR		mab	cancer		Brain, Lung	[4] It is in phase II/III clinical trials for glioblastoma, in phase II clinical trials for non-small cell lung cancer, and in phase I clinical trials for the treatment of other solid tumors		
Derlotuximab biotin[46]	histone complex	chimeric	DPY30		mab	recurrent glioblastoma multiforme		Brain	Iodine (131 I) derlotuximab biotin is a monoclonal antibody designed for the treatment of recurrent glioblastoma multiforme.[1]  https://en.wikipedia.org/wiki/Iodine_(131_I)_derlotuximab_biotin		
Dinutuximab[47]	GD2 ganglioside	chimeric			mab	neuroblastoma		cancer	National Cancer Institute (NCI) in partnership with the Children’s Oncology Group	GD2 is a disialoganglioside expressed on tumors of neuroectodermal origin	
Drozitumab[50]	DR5	human	TNFRSF10B		mab	cancer etc.		Lung, Colon-Small_intestine	Although drozitumab was studied in phase II trials for treating chondrosarcoma, colorectal cancer, non-Hodgkin lymphoma, and non-small cell lung cancer, development has been halted due to lack of clinical response		
Duligotumab[51]	ERBB3 (HER3)	human	ERBB3		mab	testicular cancer		Skin-Head, Colon-Small_intestine	Clinical development for head and neck cancer and colorectal cancer have been discontinued, but phase I trials in combination with cobimetinib are evaluating safety for treatment of solid tumors		
