	Name	Trade name	Type	Source	Target	Use
227	Mogamulizumab[101]		mab	humanized	CCR4	cancer
237	Narnatumab[104]		mab	human	RON	cancer
242	Necitumumab[105]		mab	human	EGFR	non-small cell lung carcinoma
245	Nesvacumab[107]		mab	human	angiopoietin 2	cancer
246	Nimotuzumab[45][108]	Theracim, Theraloc	mab	humanized	EGFR	squamous cell carcinoma, head and neck cancer, nasopharyngeal cancer, glioma
247	Nivolumab[109]	Opdivo	mab	human	PD-1	cancer
250	Obinutuzumab	Gazyva	mab	humanized	CD20	Chronic lymphatic leukemia
251	Ocaratuzumab[111]		mab	humanized	CD20	cancer
254	Ofatumumab[22]	Arzerra	mab	human	CD20	chronic lymphocytic leukemia etc.
255	Olaratumab		mab	human	PDGF-R α	cancer
258	Onartuzumab[112]		mab	humanized	human scatter factor receptor kinase	cancer
259	Ontuxizumab[113]		mab	chimeric/humanized	TEM1	cancer
261	Oportuzumab monatox[105]		scFv	humanized	EpCAM	cancer
265	Otlertuzumab[115]		mab	humanized	CD37	cancer
271	Pamrevlumab[8]		mab	human	CTGF	idiopathic pulmonary fibrosis (IPF), pancreatic cancer
272	Panitumumab[68]	Vectibix	mab	human	EGFR	colorectal cancer
273	Pankomab		mab	humanized	tumor specific glycosylation of MUC1	ovarian cancer
275	Parsatuzumab[51]		mab	human	EGFL7	cancer
277	Pasotuxizumab[23]		mab	chimeric/humanized	folate hydrolase	cancer
279	Patritumab[37]		mab	human	ERBB3 (HER3)	cancer
280	Pembrolizumab[119]		mab	humanized	PDCD1	melanoma and other cancers
283	Pertuzumab	Omnitarg	mab	humanized	HER2/neu	cancer
285	Pidilizumab[120]		mab	humanized	PD-1	cancer and infectious diseases
286	Pinatuzumab vedotin[26]		mab	humanized	CD22	cancer
291	Polatuzumab vedotin[26][122]		mab	humanized	CD79B	cancer
296	Pritumumab		mab	human	vimentin	brain cancer
300	Radretumab[21]		mab	human	fibronectin extra domain-B	cancer
303	Ramucirumab	Cyramza	mab	human	VEGFR2	solid tumors
309	Rilotumumab[126]		mab	human	HGF	solid tumors
312	Rituximab	MabThera, Rituxan	mab	chimeric	CD20	lymphomas, leukemias, some autoimmune disorders
314	Robatumumab		mab	human	IGF-1 receptor (CD221)	cancer
321	Sacituzumab govitecan[130]		mab	humanized	tumor-associated calcium signal transducer 2	cancer
322	Samalizumab[131]		mab	humanized	CD200	cancer
327	Seribantumab[26]		mab	human	ERBB3 (HER3)	cancer
330	Sibrotuzumab		mab	humanized	FAP	cancer
331	SGN-CD19A		mab	humanized	CD19	acute lymphoblastic leukemia and B-cell non-Hodgkin lymphoma
332	SGN-CD33A		mab	humanized	CD33	Acute myeloid leukemia
334	Siltuximab		mab	chimeric	IL-6	cancer
338	Sofituzumab vedotin[136]		mab	humanized	CA-125	ovarian cancer
346	Tabalumab[138]		mab	human	BAFF	B-cell cancers
347	Tacatuzumab tetraxetan	AFP-Cide	mab	humanized	alpha-fetoprotein	cancer
353	Tarextumab[139]		mab	human	Notch receptor	cancer
359	Teprotumumab[140]		mab	human	IGF-1 receptor (CD221)	hematologic tumors
361	Tetulomab		mab	humanized	CD37	cancer[141]
364	Ticilimumab (= tremelimumab)		mab	human	CTLA-4	cancer
366	Tigatuzumab[10]		mab	humanized	TRAIL-R2	cancer
369	TNX-650		?	humanized	IL-13	Hodgkin's lymphoma
374	Tovetumab[143]		mab	human	CD140a	cancer
376	Trastuzumab	Herceptin	mab	humanized	HER2/neu	breast cancer
377	Trastuzumab emtansine	Kadcyla	mab	humanized	HER2/neu	breast cancer
378	TRBS07[145]	Ektomab	3funct	?	GD2 ganglioside	melanoma
380	Tremelimumab		mab	human	CTLA-4	cancer
382	Tucotuzumab celmoleukin[45][108]		mab	humanized	EpCAM	cancer
384	Ublituximab[21]		mab	chimeric	MS4A1	cancer
385	Ulocuplumab[147]		mab	human	CXCR4 (CD184)	hematologic malignancies
386	Urelumab[148]		mab	human	4-1BB (CD137)	cancer etc.
389	Utomilumab[32]		mab	human	4-1BB (CD137)	cancer
391	Vandortuzumab vedotin[20]		mab	humanized	STEAP1	cancer
392	Vantictumab[149]		mab	human	Frizzled receptor	cancer
393	Vanucizumab[23]		mab	humanized	angiopoietin 2	cancer
395	Varlilumab[150]		mab	human	CD27	solid tumors and hematologic malignancies
398	Veltuzumab[10]		mab	humanized	CD20	non-Hodgkin's lymphoma
400	Vesencumab[21]		mab	human	NRP1	solid malignancies
403	Volociximab[22]		mab	chimeric	integrin α5β1	solid tumors
404	Vorsetuzumab mafodotin[151]		mab	humanized	CD70	cancer
405	Votumumab	HumaSPECT	mab	human	tumor antigen CTAA16.88	colorectal tumors
407	Zalutumumab[22]	HuMax-EGFr	mab	human	EGFR	squamous cell carcinoma of the head and neck
409	Zatuximab[51]		mab	chimeric	HER1	cancer
